p_add,steps,temperature,loss
0.1,100,0.5,10.886158529801754
0.1,100,1.0,10.911761882636295
0.1,100,1.5,2.4439548662847046
0.1,100,2.0,10.950542523453525
0.1,200,0.5,10.887290887528064
0.1,200,1.0,10.914164290264884
0.1,200,1.5,10.963810506800233
0.1,200,2.0,10.978877863134311
0.1,500,0.5,10.886158544398073
0.1,500,1.0,2.802551132880323
0.1,500,1.5,2.829036508933168
0.1,500,2.0,2.850331333559671
0.1,800,0.5,2.769526828283147
0.1,800,1.0,10.91900841904123
0.1,800,1.5,2.835582200725939
0.1,800,2.0,2.847613010448392
0.3,100,0.5,2.1695365895456225
0.3,100,1.0,2.043545972494795
0.3,100,1.5,2.09261047770645
0.3,100,2.0,2.009741888187666
0.3,200,0.5,2.4077809619661927
0.3,200,1.0,2.036076142419861
0.3,200,1.5,1.795959077772753
0.3,200,2.0,1.6308545935309913
0.3,500,0.5,2.3994733473807264
0.3,500,1.0,2.04859653213482
0.3,500,1.5,1.707528741336539
0.3,500,2.0,1.750169316048419
0.3,800,0.5,2.7822096313520723
0.3,800,1.0,1.81329378947875
0.3,800,1.5,1.960308273001464
0.3,800,2.0,1.911538574728123
0.5,100,0.5,1.9195773624065051
0.5,100,1.0,1.953481036001658
0.5,100,1.5,1.3360611304878942
0.5,100,2.0,1.2135146216160237
0.5,200,0.5,2.4223941357309053
0.5,200,1.0,1.5697563764641485
0.5,200,1.5,1.4182502852976508
0.5,200,2.0,1.3414828763300188
0.5,500,0.5,2.429884949696769
0.5,500,1.0,1.4491624099503642
0.5,500,1.5,1.4423688552632976
0.5,500,2.0,1.380684348380468
0.5,800,0.5,1.7130011887076462
0.5,800,1.0,1.5264236901509505
0.5,800,1.5,1.4762630705066124
0.5,800,2.0,1.4746277431523207
0.7,100,0.5,1.5793738049843695
0.7,100,1.0,1.2600343123160906
0.7,100,1.5,1.0540701168410909
0.7,100,2.0,1.1619087927603902
0.7,200,0.5,1.6365206835697712
0.7,200,1.0,1.0714978994590354
0.7,200,1.5,1.0499247977850585
0.7,200,2.0,1.0342532085889724
0.7,500,0.5,1.6964516744189728
0.7,500,1.0,1.2560648268937809
0.7,500,1.5,1.033423938817213
0.7,500,2.0,0.9384967260329775
0.7,800,0.5,1.7679091155225666
0.7,800,1.0,1.408838708153297
0.7,800,1.5,1.0228011493925884
0.7,800,2.0,1.083655538378198
0.9,100,0.5,1.1953082103904638
0.9,100,1.0,1.0874009042121675
0.9,100,1.5,0.8773335639213855
0.9,100,2.0,0.9016889181111469
0.9,200,0.5,1.1138795643774226
0.9,200,1.0,1.017121651477978
0.9,200,1.5,0.9004431277548537
0.9,200,2.0,0.8646151577120694
0.9,500,0.5,1.3296946613884633
0.9,500,1.0,0.9185753496223785
0.9,500,1.5,0.8389881423641178
0.9,500,2.0,1.0096507463017872
0.9,800,0.5,1.2151693013445826
0.9,800,1.0,1.1645155131504363
0.9,800,1.5,0.8999487851750091
0.9,800,2.0,0.8889802867139925
